id,title,year,genre,poster,tgLink,category,type,pin,synopsis
m0001,Awarpan2,2026,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAm0dSuLW9WvOtdzVF31H_ZhIRyfNNk2wlirQ31TowbA&s=10,https://t.me/fvmdb1/130,trending,movie,,"""Aw*ar*ap*an 2  (2026)
===================
မြန်မာစာတန်းထိုး အစအဆုံး

မကြာခင်ကမှ ရုံတင်ထားတဲ့ Hindi မင်းသားချော Emraan Hashmi ရဲ့ ဇာတ်ကားသစ်လေးဖြစ်ပါတယ် ။ 

2007 က ထွက်ခဲ့တဲ့ ဇာတ်ကားရဲ့အဆက်ပဲဖြစ်ပြီး ဒီဇာတ်ကားထဲမှာတော့ Shivam တစ်ယောက် သူ့ရဲ့ချစ်ရသူကို ဆုံးရှုံးပြီးနောက်ပိုင်း ဒုစရိုက် လောကကနေ အနားယူပြီး မိဘမဲ့ ဂေဟာ တစ်ခုနားမှာ သာမန်ဘဝလေးနဲ့ နေထိုင်နေပါတယ် ။ 

မိဘမဲ့ ဂေဟာထဲမှာတော့ Alia ဆိုတဲ့ကလေးမလေးဟာ Shivam နဲ့ အရမ်းရင်းနှီးပြီးတော့ တစ်နေ့မှာ Alia ကို မွေးစားကြမဲ့ မိသားစု ရောက်လာပါတော့တယ် ။ 

Shivam တစ်ယောက် Alia ကို စိတ်မကောင်းစွာနဲ့ မိသားစု အသစ်ဆီ လွှတ်ပေးလိုက်ရပေမယ့် တကယ်မှာတော့ Alia ကို လာမွေးစားတဲ့သူတွေက ကလေးလူကုန်ကူးတဲ့ ဂိုဏ်းက ဖြစ်နေပြီးတော့ Shivam တစ်ယောက် Alia ကိုကယ်တင်ဖို့အတွက် ဒုစရိုက်လောကထဲကို ဒုတိယအကြိမ်ပြန်ဝင်ဖို့ အကြောင်းဖန်လာတဲ့အခါမှာတော့ . . .


ရုပ်ရှင်ကြည့်ရန် Channelကို Joinပါ
https://t.me/fvmdb1

ကြည့်ရန်
https://t.me/fvmdb1/130

For Ads / Business: @familyversionads

#AWARAPAN2 #mmsub #familyversion"""
m0002,Dhamaal 4,2026,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl3dEynaA0KxvaR41-pbQBSPe00ucLmMmxlUt2BkJUEg&s=10,https://t.me/fvmdb1/166,trending,movie,,
m0003,Death Whisperer (2023),2023,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzkfaVck97PfAr8XnOeehoysBXOLmO8eVk8RZYkt4c5RD9SdhoHlGmCWc&s=10,https://t.me/wefilmmmsub/519,,movie,,
m0004,Death Whisperer 2 (2024) aka Tee Yod 2,2024,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtOt0N98tQOEWLfxdcmAah9l-28sE1UbqofljySk7B_g&s=10,https://t.me/wefilmmmsub/520,,movie,,
m0005,Death Whisperer 3,2025,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFozYNFfglz-rJkldqZAnRhRehd9n47FRSQKidAlg_tevAFcBiWhriK16u&s=10,https://t.me/wefilmmmsub/521,,movie,,
m0006,Yodha,2024,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRblVd-WHZafYUntJtsNaTkW_PDWhcdb2YvMbSakZNjuA&s=10,https://t.me/wefilmmmsub/522,,movie,,
m0007,Thugs of Hindostan,2018,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvvdLC5-B4QNtdK59y7UGnE2HSwyftFewVgX7DvKJL6g&s=10,https://t.me/wefilmmmsub/523,,movie,,
m0008,Kafir: Gerbang Sukma,2026,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKm_kSXq5J6E_7T5L42de2T82UjNwqPVGJEV1ZJ4Sq7A&s=10,https://t.me/wefilmmmsub/524,,movie,,
m0009,The Warriorr,2022,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGvd4J-nM_6GU_xNuWIunF69suF1X9JDBSMpwLFVwEQw&s=10,https://t.me/wefilmmmsub/525,,movie,,
m0010,Sadali,2026,"darma,romance",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCtZzz0fuDYaDCfrdjhgADFjCAJ6vsWwiFaw1Nt-hdvbUVNlsQAG8bSUg&s=10,https://t.me/wefilmmmsub/527,,movie,,
